id,expertise,scanpath,length
E096,expert,"II,III,aVF,V1,V2,V1,V2,V3,V2,V3,V4,V5,V6,V5,V6,II,III,aVF,V1",19
E016,expert,"II,V1,V3,V5,V6,I,aVL,V1,V2,V3,V4,V5,V6,II,III,I,aVL,V1,V2,V3,V4",21
E031,expert,"II,V1,V2,V3,V4,V5,V6,II,V2,V3,V5,V6,aVL,V1,II,III,I,aVL,V1,V2,V3,V4,V5,I",24
N059,novice,"V1,aVR,aVL,aVF,aVR,aVR,aVL,II,V3,I",10
N029,novice,"V2,V3,II,V6,aVR,V1,aVL,aVL,V6,V2,V6,V1,aVL,V1,V3,I,aVF,V5,V2,V1,I",21
N016,novice,"III,III,aVF,V4,V6,V1,V2,aVL,V6,V6,V5,V2,V3,aVF,aVR,II,V3,V5,V2,V5,aVR,aVF,aVF,aVR,V5,V2",26
E070,expert,"V1,V2,V4,II,III,aVF,I,aVF,I,aVL,V1,aVR,I,aVL,aVF,I,aVL,V5,V6,V1,V2,V3",22
N071,novice,"V3,V6,III,aVR,III,aVF,aVR,V5,V3,III,V6,V1,aVR,aVR,aVL,V4,V5,V1,V4,V5,aVR,V5",22
N075,novice,"II,V4,V6,V6,V4,aVR,V3,II,I,aVF,aVR,aVF,V4,V1,I,I",16
E046,expert,"II,III,aVF,I,aVL,V1,V3,V2,V3,V4,V6,V5,V4,V5,V6,II,aVF",17
E067,expert,"II,aVF,V1,V2,V3,V4,V6,II,III,aVL,V5,V6,V1,V2,V3,V2,V3,V2,V3",19
N083,novice,"aVL,II,aVL,aVL,V1,V2,V4,V2,V3,V4,I,V3,V6,V4,III,I",16
N066,novice,"aVR,V5,V2,III,V1,V5,V5,aVL,V1,V6,aVF,aVL,aVL",13
E079,expert,"aVL,V1,V2,V3,V4,V5,I,V1,V3,V2,V1,II,I,aVL,V1,V2,V4,V6,V1,V2,II",21
